Year,Yield_anomaly,Temperature_anomaly,Precipitation_anomaly,Exports,Imports,Production
1979,-0.144013223013614,-0.06077574205948,-65.4852201095913,2.152094,0.004589,8475000
1980,0.458200162140231,-0.374666001836818,17.2420413053106,3.317301,0.004685,11040000
1981,1.38427952791183,-0.877812191100162,80.5856852159896,4.4,0.003268,14872000
1982,-0.021775125702447,0.109163407890129,-63.9738460211355,3.9,0.001283,8781000
1983,-0.94646379869715,1.21241991056776,-97.0790645471119,1.3,1.276746,4399000
1984,-0.884086491072277,0.919631294539549,-43.9751139430208,0.04,2.673665,4797000
1985,0.004356797166716,0.157066944574492,15.786934211746,0.379504,0.420531,8444000
1986,-0.093133933974715,0.008952396082403,-46.6765639806156,1.770271,0.209414,8600000
1987,-0.325358684498389,0.859363477120745,-27.1110688241596,2.48035,0.092266,7890000
1988,-0.280917454407943,0.560272237330327,112.796935833986,0.337185,0.033108,7670000
1989,0.916489756303898,-1.12991460098491,52.74520390007,2.932876,0.002377,12481000
1990,0.250562947631677,-0.586995762268991,-13.3307045541159,2.000515,0.003438,9180000
1991,0.265302119579032,-0.478550934421552,134.886936400482,0.374731,0.150393,8614000
1992,-1.25109272785949,1.24492581385161,-110.433587763163,0.52375,3.59487,3277000
1993,0.196278405321558,0.010818561953855,-36.0305319014708,0.216,0.830242,9997000
1994,0.702115519120367,-0.985639733288675,27.8206869669784,3.760177,0.02976,13275000
1995,-0.831181386464887,0.666500192511638,-6.88359986558589,1.50845,0.750177,4866000
1996,0.420987688567617,-0.85501123747661,108.570791511309,1.94823,0.50676,10171000
1997,0.157122744219698,-0.678531040176829,44.8939012159072,1.695585,0.252704,10136000
1998,-0.287276219514102,0.170884031901668,17.3818652279375,0.897068,0.128682,7693000
1999,-0.313909202626508,0.720809865787188,-89.7366688596944,0.420921,0.376681,7946000
2000,0.208023794877026,-1.04842488781654,132.88175862362,0.616848,0.251012,11431183
2001,-0.310877227003503,-0.148200462459545,-68.4890453119851,0.620267,0.109285,7772000
2002,-0.010112268264455,-0.31264700408903,-56.3778232763061,0.74987,1.043661,10076000
2003,-0.32418132890765,0.533727173663429,-64.6071180269447,0.785141,0.49907,9705000
2004,-0.079484408934906,-0.288748260549905,48.5363173744437,0.45029,0.59643,9710070
2005,0.390578491655595,0.083479930420197,4.5756169016768,2.125515,0.081168,11715948
2006,0.026207372865672,-0.661116171856978,172.405958447491,0.628092,1.043749,6935056
2007,-0.742297765308313,0.423493568117863,-139.632523908722,0.071728,1.234173,7125000
2008,0.847563077133641,-0.266731461791061,16.2632473245921,1.07897,0.102679,12700000
2009,1.11198990019517,-0.305038154959671,63.3361986677034,1.65966,0.030734,12050000
2010,0.652382703874459,0.187449207224326,39.10287889595,1.239178,0.029093,12815000
2011,0.169741488169684,-0.11066028717574,36.698159208656,2.563159,0.087508,10360000
2012,0.110066253084486,0.343361041441341,-66.3981514837056,1.022824,0.23871,12120656
2013,-0.323843001384774,0.360149854996063,-46.0339733669455,2.60489,0.040311,11810600
2014,0.533513724761905,0.105847172378333,2.57009600826049,2.147835,0.08657,14250000
2015,-1.21866356847002,0.061734103660392,-81.6023997558916,0.762242,0.697315,9955000
2016,-1.18647488108601,0.73019703283634,-48.6633826399762,1.026609,3.268718,7778500
2017,0.99897978691576,-0.328138856436638,62.3788201811758,2.197087,0.555908,16820000
2018,-0.229599564466532,0.02735557189936,-18.9396452831452,2.201306,0.008736,12510000
