STATION,NAME,DATE,PRCP,TMAX
UKM00003772,"HEATHROW, UK",01/01/1991,,
UKM00003772,"HEATHROW, UK",02/01/1991,0.35,56
UKM00003772,"HEATHROW, UK",03/01/1991,0.24,49
UKM00003772,"HEATHROW, UK",04/01/1991,0.01,45
UKM00003772,"HEATHROW, UK",05/01/1991,0.28,50
UKM00003772,"HEATHROW, UK",06/01/1991,0.12,
UKM00003772,"HEATHROW, UK",07/01/1991,0.13,
UKM00003772,"HEATHROW, UK",08/01/1991,0.24,
UKM00003772,"HEATHROW, UK",09/01/1991,0.24,
UKM00003772,"HEATHROW, UK",10/01/1991,,
UKM00003772,"HEATHROW, UK",11/01/1991,0.24,45
UKM00003772,"HEATHROW, UK",12/01/1991,0.01,44
UKM00003772,"HEATHROW, UK",13/01/1991,0,42
UKM00003772,"HEATHROW, UK",14/01/1991,,42
UKM00003772,"HEATHROW, UK",15/01/1991,,
UKM00003772,"HEATHROW, UK",16/01/1991,0,
UKM00003772,"HEATHROW, UK",17/01/1991,,47
UKM00003772,"HEATHROW, UK",18/01/1991,0,
UKM00003772,"HEATHROW, UK",19/01/1991,0.25,46
UKM00003772,"HEATHROW, UK",20/01/1991,,50
UKM00003772,"HEATHROW, UK",21/01/1991,0,49
UKM00003772,"HEATHROW, UK",22/01/1991,,43
UKM00003772,"HEATHROW, UK",23/01/1991,0,
UKM00003772,"HEATHROW, UK",24/01/1991,0,
UKM00003772,"HEATHROW, UK",25/01/1991,0,38
UKM00003772,"HEATHROW, UK",26/01/1991,,38
UKM00003772,"HEATHROW, UK",27/01/1991,0.01,
UKM00003772,"HEATHROW, UK",28/01/1991,0,41
UKM00003772,"HEATHROW, UK",29/01/1991,,
UKM00003772,"HEATHROW, UK",30/01/1991,0,36
UKM00003772,"HEATHROW, UK",31/01/1991,,
UKM00003772,"HEATHROW, UK",01/02/1991,0.08,44
UKM00003772,"HEATHROW, UK",02/02/1991,,40
UKM00003772,"HEATHROW, UK",03/02/1991,,
UKM00003772,"HEATHROW, UK",04/02/1991,0,38
UKM00003772,"HEATHROW, UK",05/02/1991,0,36
UKM00003772,"HEATHROW, UK",06/02/1991,0.04,
UKM00003772,"HEATHROW, UK",07/02/1991,0.04,25
UKM00003772,"HEATHROW, UK",08/02/1991,0.2,
UKM00003772,"HEATHROW, UK",09/02/1991,0.02,27
UKM00003772,"HEATHROW, UK",10/02/1991,,36
UKM00003772,"HEATHROW, UK",11/02/1991,0,36
UKM00003772,"HEATHROW, UK",12/02/1991,,36
UKM00003772,"HEATHROW, UK",13/02/1991,0.16,37
UKM00003772,"HEATHROW, UK",14/02/1991,,38
UKM00003772,"HEATHROW, UK",15/02/1991,0.1,48
UKM00003772,"HEATHROW, UK",16/02/1991,,
UKM00003772,"HEATHROW, UK",17/02/1991,0,43
UKM00003772,"HEATHROW, UK",18/02/1991,0,44
UKM00003772,"HEATHROW, UK",19/02/1991,,38
UKM00003772,"HEATHROW, UK",20/02/1991,,
UKM00003772,"HEATHROW, UK",21/02/1991,0.08,47
UKM00003772,"HEATHROW, UK",22/02/1991,0.09,
UKM00003772,"HEATHROW, UK",23/02/1991,0.08,54
UKM00003772,"HEATHROW, UK",24/02/1991,0.04,54
UKM00003772,"HEATHROW, UK",25/02/1991,,53
UKM00003772,"HEATHROW, UK",26/02/1991,,51
UKM00003772,"HEATHROW, UK",27/02/1991,,48
UKM00003772,"HEATHROW, UK",28/02/1991,0.39,50
UKM00003772,"HEATHROW, UK",01/03/1991,0,
UKM00003772,"HEATHROW, UK",02/03/1991,,45
UKM00003772,"HEATHROW, UK",03/03/1991,,54
UKM00003772,"HEATHROW, UK",04/03/1991,,
UKM00003772,"HEATHROW, UK",05/03/1991,0.12,52
UKM00003772,"HEATHROW, UK",06/03/1991,0.18,58
UKM00003772,"HEATHROW, UK",07/03/1991,0.04,58
UKM00003772,"HEATHROW, UK",08/03/1991,,58
UKM00003772,"HEATHROW, UK",09/03/1991,0.01,53
UKM00003772,"HEATHROW, UK",10/03/1991,0.04,53
UKM00003772,"HEATHROW, UK",11/03/1991,0,54
